ESTABLECIMIENTO,CALLE No.,COLONIA,"CÓDIGO
POSTAL",LOCALIDAD,ENTIDAD,No. LICENCIA,"FECHA
EXPEDICIÓN",LÍNEAS AUTORIZADAS,"ESTATUS DE
LA LICENCIA",ESTATUS DEL ESTABLECIMIENTO,OBSERVACIONES,LINEAS CERTIFICADAS,"NO. DE OFICIO DE
CERTIFICACION",FECHA DE EMISION,"FECHA DE
VENCIMIENTO","ESTATUS DE LA
CERTIFICACIÓN"
"Productos Farmacéuticos, S.A. de C.V.",Km. 4.2 Carretera Pabellón de Hidalgo,N/I,20420,Rincón de Romos,Aguascalientes,01007020001,08-sep.-21,"SÓLIDOS: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo; LÍQUIDOS: Solución, Suspensión, Jarabe, emulsión, Tintura; SEMISÓLIDOS: Supositorio, Crema, Ungüento, Gel, Óvulo, Pomada; ESTÉRILES: Suspensión inyectable en frasco ámpula, Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Solución nasal, Solución oftálmica, suspensión inyectable en jeringa prellenada, solución inyectable en jeringa prellenada.",Vigente,Vigente,Ninguna,"Sólidos Orales, Líquidos Orales, Líquidos no Orales, Semisólidos, Estériles.",223300516A1379,29-nov.-22,14-jul.-23,Vigente
"Productos Maver, S.A. de C.V.",Oleoducto No. 2804,Álamo Industrial,45593,Tlaquepaque,Jalisco,14098020001,02-mar.-23,"SÓLIDOS: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura, Granulado, Polvo; Herbolarios: Cápsulas de gelatina dura; SEMISÓLIDOS: Crema, Gel, Ungüento, Herbolarios: Crema; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en jeringa prellenada, Suspensión inyectable en ampolleta, Liofilizado para solución inyectable en frasco ámpula, Solución inyectble en frasco ámpula; SÓLIDOS-CEFALOSPORÍNICOS: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo.",Vigente,Vigente,Ninguna,"Sólidos, Semisólidos, Estériles, Sólidos Cefalosporínicos, Líquidos - herbolarios.",223300516A1156,19-oct.-22,08-jun.-23,Vigente
"Productos Maver, S.A. de C.V.","Carretera a San Martín de las Flores No. 520, Int. 6",Parque Industrial Cedros,45620,Tlaquepaque,Jalisco,14098020004,07-ene.-21,"LÍQUIDOS: Solución, Suspensión, Jarabe, Gel. LÍQUIDOS HERBOLARIOS: Solución, Suspención y jarabe, SÓLIDOS-BETALACTAMICOS: Tabletas o comprimidos, Tabletas recubiertas, cápsulas de gelatina dura y polvo para recontituir. Sólidos: Tabletas o comprimidos, tabletas recubiertas,
granulado y polvo. Acondicionamiento Primario y Secundario: Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,"Líquidos, Sólidos, Sólidos- Betalactámicos.",213300EL532158,03-jun.-22,03-dic.-24,Vigente
"Productos Medix, S.A. de C.V.",Calz. Del Hueso No. 39 y 45,Ex Ejido de Sta. Ursula Coapa,04650,Coyoacan,D.F.,09004020034,01-oct.-21,"SÓLIDOS: Tabletas o Comprimidos, Cápsulas de
gelatina dura, Cápsulas de gelatina blanda, Tabletas recubiertas, Herbolarios: Tabletas o comprimidos, Cápsulas de gelatina dura, Cápsulas de gelatina
blanda; LÍQUIDOS: Solución, Suspensión, Elixir,",Vigente,Vigente,Ninguna,"Sólidos, sólidos herbolarios, Líquidos, Semisólidos .",213300EL531699,03-dic.-21,03-jun.-24,Vigente
"Productos Roche, S.A. de C.V.","Via Isidro Fabela Nte. No.
1536-B",Parque Industrial,50030,Toluca,México,15106020008,26-oct.-16,"SÓLIDOS: Tableta o comprimidos; tabletas
recubiertas; LIQUIDOS: Solución, Suspensión;",Revocada,"Suspensión definitiva el 20 de
agosto de 2018","Con fundamento en
el  Artículo 380","Sólidos orales, Líquidos orales,
Sólidos orales Oncológicos.","163300129X0320,
173300IT040100",07-mar.-17,17-ago.-19,Vencido
"Progela, S.A. de C.V.",Escocia No. 44,Parque San Andrés,04040,Coyoacán,Ciudad de México,09004020019,31-ago.-22,SÓLIDOS: Cápsulas de gelatina blanda.,Vigente,Vigente,Ninguna,Sólidos,213300516A0963,16-ago.-21,26-jun.-22,Vencido
"Progela, S.A. de C.V.",Poniente 148 No. 974,Industrial Vallejo,02300,Azcapotzalco,Ciudad de México,09002020006,01-jun.-22,SÓLIDOS: Cápsulas de gelatina blanda.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Propulsora de Homeopatía, S.A. de C.V.",Mirto No. 26,Santa María la Ribera,06400,Cuauhtémoc,D.F.,09006030001,07-feb.-05,"SÓLIDOS ORALES: Tabletas, Globulos; SÓLIDOS NO ORALES: Polvo tópico; LÍQUIDOS ORALES: Solución, Elixir; SEMISÓLIDOS: Gel, Pomada.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Protein,  S.A. de C.V.",Añil No. 865,Granjas México,08400,Iztacalco,D.F.,09008020004,18-oct.-00,"SÓLIDOS ORALES: Tabletas, Tabletas masticables,
Comprimidos, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas, Pastilla; SÓLIDOS NO ORALES:",Vigente,"Suspensión del área de
fabricación del área de polvos
del 25 de septiembre de 2021","Con fundamento en
el Artículo 202 de la
Ley General de Salud","Sólidos orales, Sólidos No orales, Líquidos orales, Semisólidos.",203300EL531828,15-feb.21,15-ago.-23,Vigente
"Pro-Ventas, S.A. de C.V.",General León No. 40,San Miguel Chapultepec,11850,Miguel Hidalgo,D.F.,09011020022,25-mar.-11,"SÓLIDOS ORALES: Tabletas, Tabletas masticables.",Vigente,Vigente,Ninguna,Sólidos orales.,"173300EL531362,
173300CT110369,
173300EL531865",16-nov.-17,16-dic.-19,Vencido
"Psicofarma, S.A. de C.V.",Calz. de Tlalpan No. 4369,Toriello Guerra,14050,Tlalpan,D.F.,09014020009,23-oct.-17,"SÓLIDOS ORALES: Tabletas, Tabletas efervescentes
y/o solubles, Tabletas de liberación prolongada, Tabletas masticables, Tabletas recubiertas, Comprimidos efervescentes, Cápsulas de Gelatina
dura, Cápsulas de gelatina dura de liberación",Vigente,"Suspensión del área de estériles oncólogicos del 31 de julio de 2018 al 28 de
diciembre de 2019",Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos Orales, Estériles.",213300516A0216,04-mar.-21,28-jul.-21,Vencido
"Psicofarma, S.A. de C.V.","Av. División del Norte No. 3377, interior 4",El Rosario,04380,Coyoácan,Ciudad de México,09004020037,17-dic.-20,"estériles: Solución inyectable en ampolleta, Solución Inyectable en frasco ámpula, Suspensión inyectable en ampolleta, Suspensión Inyectable en frasco ámpula y Solución inyectable en jeringa.",Vigente,Vigente,ninguna,Estériles,223300EL530023,27-jun.-22,27-dic.-24,Vigente
"Psicofarma, S.A. de C.V.",Blvd. Isidro Fabela No. 1238,Santa Cruz Azcapotzaltongo,50030,Toluca,México,15106020020,18-abr.-22,"SÓLIDOS: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de Gelatina dura, Granulado, Polvo, Tabletas efervescentes. LÍQUIDOS: Solución, Suspensión.",Vigente,Vigente,Ninguna,"Sólidos, Liquidos",233300516A0221,10-mar.-23,31-jul.-23,Vigente
"Química Franco Mexicana Nordin,
S.A. de C.V.",Lomas Altas No. 292,Lomas del Valle,45129,Zapopan,Jalisco,14120020013,06-ene.-05,"SÓLIDOS ORALES: Tabletas, Tabletas masticables,
Comprimidos, Polvo para reconstituir, Trocisco; LÍQUIDOS ORALES: Solución, Elixir, Jarabe; LÍQUIDOS NO ORALES: Solución; SEMISÓLIDOS: Crema,
Ungüento, Gel.",Vigente,Vigente,Ninguna,"Sólidos Orales, Líquidos Orales, Líquidos No Orales, Semisólidos.",223300EL531137,01-dic.-22,01-jun.-25,Vigente
"Química y Farmacia, S.A. de C.V.",Aut. Saltillo-Monterrey  KM 11.5,Capellania,25900,Ramos Arizpe,Coahuila,05027020003,18-sep.-14,"LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; LÍQUIDOS NO ORALES: Solución; SEMISÓLIDOS:
Crema, Ungüento, Pasta, Gel.",Vigente,Vigente,Ninguna,"Líquidos orales, Líquidos no Orales y Semisólido",223300EL531860,27-ene.-23,27-jul.-25,Vigente
"Química y Farmacia, S.A. de C.V.",Blvd. Ind. Automotriz No.3045 Fracc.II,Parque Industrial Saltillo Ramos Arizpe,25900,Ramos Arizpe,Coahuila,05027020004,11-may.-11,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación
prolongada, Tabletas masticables, Comprimidos, Cápsulas de gelatina dura, Cápsulas de gelatina dura de liberación prolongada, Granulado, Grageas,
Grageas de liberación prolongada.",Vigente,Vigente,Ninguna,Sólidos orales.,COFEPRIS-CAS-SELS-5364- 2023,31-ene.-23,31-jul.-25,Vigente
"Quintaesencia Laboratorios, S.A. de C.V.",Av. Minas No. 507 Bodega 7,Arvide,01280,Álvaro Obregón,D.F.,09001020010,06-jun.-12,"SÓLIDOS ORALES: Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura, Grageas.",Revocada,Suspensión definitiva el 07 de agosto de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Randall Laboratories, S.A. de C.V.",Lago Rodolfo No. 58,Granada,11520,Miguel Hidalgo,D.F.,09011020019,05-jul.-04,"SÓLIDOS ORALES: Tabletas; LÍQUIDOS ORALES:
Solución; ESTÉRILES: Solución inyectable en ampolleta.",Vigente,"Suspensión del 01 de enero de 2021  al 31 de diciembre de
2023",Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"RB Salute México, S.A. de C.V.",Calzada De Tlalpan No. 2996,Ejido de Santa Ursula Coapa  (ex hacienda  coapa),04980,Coyoacan,Ciudad de México,09004020023,05-feb.-20,"SÓLIDOS: Tabletas o comprimidos, Tabletas
recubiertas, Cápsulas de gelatina dura, Polvo, Polvo efervescente; LÍQUIDOS: Solución, Suspensión, Jarabe, Emulsión.",Vigente,Vigente,Ninguna,Sólidos y Líquidos.,"223300EL531196,
223300EL531450",24-ene.-23,24-jul.-25,Vigente
"Representaciones e Investigaciones Médicas, S.A. de C.V.",Carr. a Nogales No. 850,La Venta del Astillero,45220,Zapopan,Jalisco,14120020005,19-nov.-13,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Polvo
para reconstituir, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe, Vino medicinal, Emulsión; LÍQUIDOS NO ORALES: Emulsión; SEMISÓLIDOS:
Supositorio, Crema, Ungüento, Gel, Óvulo; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula, Emulsión inyectable en frasco ámpula, Solución oftálmica,
Solución nasal, Liofilizado para solución inyectable en frasco",Vigente,Suspensión de todas las líneas de fabricación excepto Sólidos Orales: tabletas y cápsula de gelatina dura. Del 10-oct-2020 al 09-may-2023,Con fundamento en el Artículo 202 de la Ley General de Salud,Sólidos Orales,223300CI110295,03-nov.-22,28-feb.-25,Vigente
"Reuffer Laboratorios, S.A. de C.V.",Juan de Dios Arias No. 78,Vista Alegre,06860,Cuauhtemoc,D.F.,1006028576,No disponible,No disponible,Vigente,Suspensión de trabajos y servicios / Suspensión temporal del 19/12/2017 al 01/07/2018,"Con fundamento en
los Artículos 402, 404,
412 y 414 de la Ley General de Salud / Con fundamento en el Artículo 202 de la
Ley General de Salud",N/A,N/A,N/A,N/A,N/A
"Rubio Pharma y Asociados, S.A. de C.V.",Blvd. García Morales Km. 6.5,El Llano,83210,Hermosillo,Sonora,26030030001,20-oct.-03,"SÓLIDOS ORALES: Tabletas, Comprimidos.",Vigente,Suspensión temporal de actividades del 23 de enero de 2017 al 01 de enero de 2025,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Sandoz, S.A. de C.V.",La Candelaria No. 186,Atlántida,04370,Coyoacan,Ciudad de México,09004020015,19-sep.-17,SÓLIDOS: Polvo para reconstituir.,Vigente,"Suspensión temporal de
actividades del 25 de marzo de 2020 al 26 de marzo de 2026",Con fundamento en el Artículo 202 de la Ley General de Salud,Sólidos.,203300EL530453,04-mar.-20,01-dic.-20,Vencido
"Sanofi Aventis de México, S.A. de C.V.",Acueducto de Alto Lerma No. 2,Zona Industrial Ocoyoacac,52740,Ocoyoacac,Edo. de México,15062020001,06-may.-20,"SÓLIDOS: Tabletas o comprimidos, Tabletas
efervescentes, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo; LÍQUIDOS: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Óvulo, LIQUIDOS
HERBOLARIOS: Jarabe.",Vigente,Vigente,Ninguna,"Sólidos orales, Sólidos No orales,
Líquidos orales, Líquidos No orales, Semisólidos, Semisólidos- Herbolarios, Estériles, Estériles - Cefalosporínicos, Aerosoles.",CAS/SELS/16298/2020,24-nov.-20,24-may.-23,Vigente
"Sanofi Pasteur, S.A. de C.V.",Acueducto del Alto Lerma No. 2 Loc. B,Zona Industrial Ocoyoacac,52740,Ocoyoacac,México,15062020004,03-ene.-22,"SÓLIDOS-BIOLOGÓGICOS: Tabletas, Comprimidos; LÍQUIDOS-BIOLÓGICOS: Solución ingerible en ampolleta; Biofármacos.",Vigente,Vigente,Ninguna,"Sólidos Biológicos, Líquidos Biológicos,  Biofármacos.",223301EL530977,27-jun.-22,27-dic.-24,Vigente
"SBL Pharmaceuticals, S. de R.L. de C.V.",Puerto Escondido No. 23800 A,Parque Industrial Pacífico III,22643,Tijuana,Baja California,02004020005,02-ago.-07,"SÓLIDOS ORALES: Tabletas o Comprimidos, Tabletas recubiertas, , Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos Orales,COFEPRIS-CAS-SELS- 10527-2022,04-ago.-22,04-feb.-25,Vigente
"Schering Plough, S.A. de C.V.",Av. 16 de Septiembre No. 301,Barrio Xaltocan,16090,Xochimilco,D.F.,09016020004,08-ene.-20,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Tabletas masticables, Tabletas sublinguales, Cápsulas de gelatina dura, Grageas, Grageas  de liberación prolongada, Grageas recubiertas; LÍQUIDOS ORALES: Solución, Suspensión Jarabe; LÍQUIDOS NO ORALES: Solución; SEMISÓLIDOS: Crema, Ungüento; ESTÉRILES:
Suspensión inyectable en frasco ámpula, Parenterales de pequeño volumen solución inyectable en ampolleta de vidrio, Parenterales de pequeño volumen solución inyectable en frasco ámpula,  Solución inyectable en jeringa, Suspensión inyectable en jeringa, Ungüento oftálmico, Solución oftálmica, Suspensión oftálmica, Solución nasal.",Vigente,"Suspensión de trabajos y servicios / Suspensión temporal del 24/feb/2020 al 31/dic/2020, en área de Líquidos  Orales y Liquidos No
Orales.",Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos orales, Líquidos orales, Líquidos No orales, Semisólidos, Estériles.",223300516A1422,16-dic.-22,08-jul.-23,Vigente
"Schwabe México, S.A. de C.V.",Aguacate No. 4,El Estudiante,62790,Xochitepec,Morelos,17028020001,25-sep.-12,"SÓLIDOS ORALES: Tabletas, Comprimidos, Cápsulas de gelatina dura, Grageas, Grageas de liberación prolongada; LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe; SEMISÓLIDOS: Supositorio, Crema, Ungüento, Gel; SÓLIDOS ORALES HERBOLARIOS: Cápsulas de gelatina dura, Grageas, Grageas con capa entérica; LÍQUIDOS ORALES HERBOLARIOS: Solución, Elixir, Jarabe; SÓLIDOS ORALES HOMEOPÁTICOS: Tabletas, Grageas, Globulos; LÍQUIDOS ORALES HOMEOPÁTICOS:
Solución, Elixir, Jarabe; LÍQUIDOS NO ORALES HOMEOPÁTICOS: Linimento, Tintura; SEMISÓLIDOS HOMEOPÁTICOS: Supositorio, Gel, Pomada.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Semisólidos, Sólidos orales Herbolarios, Líquidos orales Herbolarios, Sólidos orales Homeopáticos, Líquidos orales Homeopáticos, Líquidos no orales Homeopáticos, Semisólidos Homeopáticos.",223300516A1493,09-ene.-23,17-jul.-23,Vigente
"Selder, S.A. de C.V.",Fernando Villalpando No. 48,Guadalupe Inn,01020,Álvaro Obregón,D.F.,09001020002,27-mar.-14,SÓLIDOS ORALES: Tabletas.,Vigente,Vigente,Ninguna,Sólidos orales.,203300516A0529,08-jun.-20,16-mar.-21,Vencido
"Selgel México, S.A. de C.V.",Calle 7 Norte No. 115,Parque Industrial Toluca 2000 2da. Ampliación,50200,Toluca,Edo. de México,15106020018,22-feb.-23,SÓLIDOS ORALES: Cápsulas de gelatina blanda.,Vigente,Vigente,Ninguna,Sólidos orales.,173300EL960122,27-feb.-18,12-jun.-18,Vencido
"Serral, S.A. de C.V.",Camino Real a Cocotitlan S/No. esquina Constitución 5 de Febrero,Zona Industrial Chalco,56600,Chalco,Edo. de México,15025020001,07-may.-10,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Tabletas recubiertas, Cápsulas de gelatina dura, Grageas.",Vigente,Vigente,Ninguna,Sólidos orales.,"213300EL532401,
223300EL532093",10-mar.-22,07-sep.-24,Vigente
"Serral, S.A. de C.V.",Adolfo Prieto No. 1009,Del Valle,03100,Benito Juárez,Ciudad de México,09003020018,23-nov.-16,"SÓLIDOS: Tabletas efervescentes y/o solubles, Polvo tópico.",Vigente,Vigente,Ninguna,Sólidos.,203300129X0200,21-dic.-20,21-jun.-23,Vigente
"Siegfried Rhein, S.A. de C.V.",Calle 2 No. 30,Fracc. Ind. Benito Juárez,76120,Querétaro,Querétaro,22014020004,12-ago.-19,"SÓLIDOS: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de Gelatina dura, Polvo.",Vigente,Vigente,Ninguna,Sólidos orales.,203300129X0251,09-feb.-21,09-ago.-23,Vigente
"Sillver Laboratorios, S.A. de C.V.",Av. México No. 121-A,3 de Mayo,62760,Cuernava,Morelos,17007020002,17-dic.-12,LÍQUIDO ORALES: Jarabes.,Revocada,"Suspensión definitiva el 13 de
abril de 2018","Con fundamento en
el  Artículo 380",N/A,N/A,N/A,N/A,N/A
"Solanum Pharma, S. de R.L. de C.V.",Av. De las Palmas No. 149,Parque Industrial Las Palmas,66368,Santa Catarina,Nuevo León,19048020002,07-ene.-14,SÓLIDOS ORALES: Cápsulas de gelatina blanda.,Vigente,Vigente,Ninguna,Herbolario: Sólidos orales.,123300CT110355,30-ene.-13,25-feb.-15,Vencido
"Solanum, S. de R.L. de C.V.",Virgilio C Guerra No. 301 C y B,La Fama,66100,Santa Catarina,Nuevo León,19048040001,05-feb.-16,SÓLIDOS ORALES Herbolarios: Cápsulas de gelatina dura.,Vigente,Vigente,Ninguna,Sólidos Orales,193300CI110159,01-ago.-19,01-mar.-21,Vencido
"Solara, S.A. de C.V.",Calle 5 de Mayo No. 307-A,Reforma,52100,San Mateo Atenco,Edo. de México,15076020001,09-ene.-04,"SÓLIDOS ORALES: Tabletas, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Grageas.",Vigente,Vigente,Ninguna,Sólidos.,"223300129X0118,
223300IT040750,
223300IT040752,
223300EL531940,
223300ES200772",20-feb.-23,20-ago.-25,Vigente
"Stern Pharma GMBH, S.A. de C.V.",Acueducto Alto Lerma No. 9,San Pedro Cholula,52740,Ocoyoacac,Edo. de México,15062020006,26-jul.-22,"ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en jeringa prellenada",Vigente,Vigente,Ninguna,Estériles.,223300516A0192,15-mar.-22,15-sep.-22,Vencido
"Streger, S.A.",Km. 8  Antigua Carr. Xalapa- Coatepec,Consolapa,91500,Coatepec,Veracruz,30038020001,14-oct.-11,"SÓLIDOS ORALES: Tabletas, Tabletas masticables, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Exilir, Jarabe, Emulsión.",Vigente,Suspensión temporal del 08 de julio de 2016 al 04 de septiembre de 2017,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Sunpharma de México, S.A. de C.V.",Av. RÍo Churubusco No. 658,Sifon,09400,Iztapalapa,D.F.,09009020013,08-sep.-15,"SÓLIDOS ORALES ONCOLÓGICOS: Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura, Grageas.",Vigente,Suspensión temporal del área de solidos orales oncológicos y laboratorio de microbiología del 10 de enero de 2022 al 10 de enero de 2023,Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos orales Oncológicos, Estériles Oncológicos.",133300IT010841,12-ago.-13,07-may.-15,Vencido
"Super Mayoreo Naturista, S.A. de C.V.",Av. 1° de Mayo No. 3-B,Fraccionamiento Industrial Alce Blanco,53370,Naucalpan de Juárez,Edo. de México,15057040001,18-jul.-01,SÓLIDOS ORALES: Cápsulas de gelatina dura.,Vigente,Suspendido desde el 18-Jun- 2012,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Syntex, S.A. de C.V.",Vía I. Fabela Norte No. 1536-A,Parque Industrial,50030,Toluca,Edo. de México,15106020006,20-may.-02,"SÓLIDOS ORALES: Tabletas, Tabletas efervescentes
y/o solubles, Tabletas de liberación prolongada,
Tabletas masticables, Tabletas recubiertas, Comprimidos, Comprimidos efervescentes, Cápsulas",Revocada,Suspensión definitiva el 30 de Marzo de 2017,"Con fundamento en
el  Artículo 380 Fracción XI de la Ley
General de Salud",N/A,N/A,N/A,N/A,N/A
"Novonafar, SA de CV",Justo Sierra No. 933,Agua Blanca Industrial,45235,Zapopan,Jalisco,14120020004,16-feb.-23,SÓLIDOS: Cápsulas de gelatina dura; SÓLIDOS HERBOLARIOS: Polvo.,Vigente,Vigente,Ninguna,Sólidos orales,"163300EL531485,
163300ER020252",06-sep.-16,19-ago.-18,Vencido
"Takeda México, S.A. de C.V.",Av. Primero de Mayo No. 130,Industrial Atoto,53519,Naucalpan de Juárez,Edo. de México,15057020006,27-abr.-23,"SÓLIDOS:  Tabletas o Comprimidos, Granulado,
Herbolarios: Tabletas o Comprimidos, Granulado, Polvo efervescente; LÍQUIDOS: Solución, Jarabe; SEMISÓLIDOS: Supositorios, Crema, Ungüento, Gel,
Óvulo, Pomada.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Semisólidos.",233300516A0423,24-abr.-23,11-nov.-23,Vigente
"Tecnofarma, S.A. de C.V.",Azafrán  No. 123,Granjas México,08400,Iztacalco,D.F.,09008020001,03-ago.-01,"SÓLIDOS ORALES: Tabletas, Tabletas efervescentes y/o solubles, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas.",Vigente,Suspendido del 07 de Abril de 2014 al 07 de Abril de 2015,Con fundamento en el Artículo 202 de la Ley General de Salud,Sólidos orales.,113300IT011252,13-jun.-11,13-dic.-13,Vencido
"Tecnofarma, S.A. de C.V.",Brea No. 198,Granjas México,08400,Iztacalco,D.F.,09008020002,02-dic.-05,"SÓLIDOS ORALES: Cápsulas de gelatina blanda; LÍQUIDOS ORALES: Solución; ESTÉRILES:
Parenterales de pequeño volumen solución inyectable en ampolleta de vidrio, Parenterales de pequeño volumen solución inyectable en frasco ámpula.",Vigente,Suspendido del 01 de Enero de 2014 al 31 de Julio de 2015,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Tecnofarma, S.A. de C.V.",Oriente 10 No. 8,Nuevo Parque Industrial,76809,San Juan del Río,Querétaro,22016020004,19-feb.-18,"SÓLIDOS: Tabletas o Comprimidos, Tabletas
efervescentes, Tabletas recubiertas, Cápsulas de Gelatina dura, Cápsulas de gelatina blanda, Polvo; SÓLIDOS BETALACTÁMICOS: Tabletas o
Comprimidos, Cápsulas de gelatina dura, Polvo; SÓLIDOS CEFALOSPORÍNICOS: Tabletas o
Comprimidos, Cápsulas de gelatina dura, Polvo;
ESTÉRILES CEFALOSPORÍNICOS: Polvo para",Vigente,Vigente,Ninguna,"Sólidos, Sólidos Betalactámicos, Sólidos Cefalosporínicos, Estériles cefalosporínicos.",COFEPRIS-CAS-3500-2022,18-mar.-22,18-sep.-24,Vigente
"Ulsa Tech, S.A. de C.V.",Av. Doctor R. Michel No. 2546,Parque Industrial el Álamo,44490,Guadalajara,Jalisco,14039020021,19-may.-20,"SÓLIDOS ONCOLÓGICOS: Tabletas o comprimidos,
Tabletas Recubiertas, Cápsulas de gelatina dura, ; ESTÉRILES ONCOLÓGICOS: Solución Inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula, Suspensión inyectable en frasco",Vigente,Vigente,Ninguna,"Sólidos oncológicos, Estériles Oncológicos","223300EL530542,
213300EL531982",08-abr.-22,08-oct.-24,Vigente
"Ultra Laboratorios, S.A. de C.V.",Dr. Roberto Michel No. 2572,Alamo Industrial,44490,Guadalajara,Jalisco,14039020022,10-dic.-19,"sólidos: Tabletas o comprimidos, Tabletas recubiertas y Cápsulas de gelatina dura.",vigente,vigente,ninguna,Sólidos,203300EL531364,09-oct.-20,09-abr.-23,Vencido
"Ultra Laboratorios, S.A. de C.V.",Dr. Roberto Michel No. 2920,Alamo Industrial,44490,Guadalajara,Jalisco,14039020011,16-feb.-22,"SÓLIDOS: Tabletas o Comprimidos, Cápsula de
Gelatina Dura, Polvo y Granulado; Herbolarios- cápsulas de gelatina dura; LÍQUIDOS: Solución,",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Sólidos
Hormonales, Semisólidos
Hormonales .",CAS/SELS/442/2021,12-ene.-21,12-jul.-23,Vigente
"Undra, S.A. de C.V.",Maíz No. 225,Xaltocan,16090,Xochimilco,Ciudad de México,09016020001,19-jun.-19,"LÍQUIDOS: Jarabe, Solución.",Vigente,Vigente,Ninguna,Líquidos.,223300EL530855,22-ago.-22,22-feb.-25,Vigente
"Unileben, S.A. de C.V.",Av. Canal de Garay No. 591,U.H. Reforma Garay,09860,Iztapalapa,Ciudad de México,09009020018,10-oct.-18,AEROSOLES: Suspensión en aerosol.,Vigente,Suspensión del 23 de junio de 2021 al 28 de febrero de 2023.,Con fundamento en el Artículo 202 de la Ley General de Salud,Aerosoles.,213300516A0480,10-may.-21,16-nov.-21,Vencido
"Unipharm de México, S.A. de C.V.",Tamarindos XV-A L.10 entre Cocoteros y Arrayanes,Ciudad Industrial Bruno Pagliai,91697,Veracruz,Veracruz,30193020001,14-abr.-05,"prolongada, Comprimidos, Cápsulas de gelatina dura, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe, Emulsión; SEMISÓLIDOS: Crema, Ungüento, Gel, Pomada; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en frasco ámpula,",Vigente,Suspensión de trabajos y servicios,"Con fundamento en los Artículos 404, 412 y 414 de la Ley General de Salud.","Sólidos orales, Líquidos orales, Semisólidos, Estériles.",133300IT010667,08-jul.-13,06-ene.-15,Vencido
"Victory Enterprises, S.A. de C.V.",Carr. a Ensenada Km. 12.5 SN,La Gloria,22645,Tijuana,Baja California,02004020001,24-feb.-15,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Grageas; SEMISÓLIDOS: Crema; SÓLIDOS ORALES BETALACTÁMICOS: Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,"Sólidos orales, Semisólidos, Sólidos Orales-Betalactámicos.",223300516A0292,06-abr.-22,21-sep.-22,Vencido
